epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.364,0.77579,1.2839,1.2843,0.75431,0.67793,0.75652,0.53879,0.90903,1.10167,1.47554,0.000415728,0.000415728,0.000415728
2,302.737,0.92628,1.2541,1.37952,0.76446,0.68259,0.75486,0.52676,0.95638,1.10454,1.5236,0.000815913,0.000815913,0.000815913
3,448.344,0.93484,1.23353,1.38659,0.73884,0.57844,0.6996,0.48384,0.99263,1.29445,1.56156,0.0011996,0.0011996,0.0011996
4,592.503,0.91155,1.17552,1.36228,0.73182,0.62301,0.70009,0.50118,0.92746,1.13134,1.44847,0.00117575,0.00117575,0.00117575
5,736.712,0.84415,1.09515,1.32152,0.79877,0.69207,0.78158,0.55966,0.97438,0.98765,1.53996,0.001151,0.001151,0.001151
6,882.224,0.81594,1.03799,1.30206,0.80931,0.73375,0.82797,0.63194,0.79997,0.87943,1.34055,0.00112625,0.00112625,0.00112625
7,1027.4,0.78204,0.97525,1.27476,0.84,0.74248,0.83643,0.64464,0.75819,0.82822,1.29981,0.0011015,0.0011015,0.0011015
8,1172.87,0.77051,0.94436,1.26722,0.86575,0.77226,0.85992,0.68273,0.71863,0.75435,1.26341,0.00107675,0.00107675,0.00107675
9,1318.94,0.75351,0.92177,1.25305,0.83858,0.72238,0.83955,0.6569,0.71336,0.83169,1.26406,0.001052,0.001052,0.001052
10,1463.38,0.74058,0.88658,1.24451,0.87665,0.76257,0.8584,0.68744,0.70092,0.72762,1.24833,0.00102725,0.00102725,0.00102725
11,1609.04,0.71708,0.86929,1.22999,0.87678,0.76798,0.87069,0.69261,0.70753,0.71788,1.24124,0.0010025,0.0010025,0.0010025
12,1755.47,0.71014,0.84006,1.22316,0.85853,0.78716,0.87906,0.71503,0.65169,0.71601,1.19184,0.00097775,0.00097775,0.00097775
13,1901.75,0.70583,0.82935,1.21868,0.86905,0.7847,0.87771,0.71197,0.64293,0.67247,1.20088,0.000953,0.000953,0.000953
14,2045.99,0.69326,0.82694,1.21139,0.86531,0.79263,0.87907,0.7265,0.62823,0.6908,1.17866,0.00092825,0.00092825,0.00092825
15,2192.12,0.6851,0.80337,1.20196,0.87921,0.77693,0.87782,0.71901,0.64208,0.67343,1.19443,0.0009035,0.0009035,0.0009035
16,2336.83,0.67036,0.77423,1.19068,0.89168,0.78935,0.88202,0.73909,0.59616,0.62839,1.15075,0.00087875,0.00087875,0.00087875
17,2482.3,0.66645,0.76448,1.18774,0.89007,0.79041,0.88339,0.73042,0.6272,0.64031,1.1805,0.000854,0.000854,0.000854
18,2627.59,0.65529,0.7442,1.18355,0.88562,0.7931,0.89145,0.74535,0.589,0.63191,1.1576,0.00082925,0.00082925,0.00082925
19,2774.29,0.64512,0.74092,1.17513,0.86341,0.7912,0.88536,0.74994,0.57272,0.62903,1.12454,0.0008045,0.0008045,0.0008045
20,2918.89,0.64602,0.72615,1.17694,0.86685,0.79235,0.88554,0.7436,0.59839,0.6292,1.15415,0.00077975,0.00077975,0.00077975
21,3063.53,0.63247,0.71628,1.16517,0.91219,0.79917,0.89347,0.74896,0.59042,0.60101,1.15276,0.000755,0.000755,0.000755
22,3207.45,0.62937,0.71014,1.16764,0.90921,0.79596,0.89775,0.76267,0.57102,0.57961,1.12936,0.00073025,0.00073025,0.00073025
23,3353.54,0.62222,0.69879,1.16382,0.88893,0.81958,0.8997,0.76714,0.5569,0.56112,1.12253,0.0007055,0.0007055,0.0007055
24,3498.68,0.61871,0.69199,1.16072,0.89923,0.79291,0.89916,0.76527,0.55068,0.58656,1.11189,0.00068075,0.00068075,0.00068075
25,3643.28,0.60807,0.67633,1.14963,0.90726,0.80106,0.89957,0.77106,0.54137,0.57004,1.10826,0.000656,0.000656,0.000656
